title,year,tmdb_id,matched_title,budget,revenue,roi,vote_average,vote_count,has_financials,has_reception,usable
Midnight in Paris,2011,59436,Midnight in Paris,17000000,151119219,8.89,7.513,7768,True,True,True
Mighty Morphin Power Rangers: The Movie,1995,9070,Mighty Morphin Power Rangers: The Movie,15000000,66433194,4.43,5.886,774,True,True,True
Milk,2008,10139,Milk,20000000,54600000,2.73,7.215,2438,True,True,True
Millers Crossing,1990,379,Miller's Crossing,14000000,5080409,0.36,7.447,1860,True,True,True
Mimic,1997,4961,Mimic,30000000,25480490,0.85,6.088,1260,True,True,True
Minis First Time,2006,15314,Mini's First Time,6000000,156318,0.03,5.57,134,True,True,True
Minority Report,2002,180,Minority Report,102000000,358372926,3.51,7.355,9682,True,True,True
Mirrors,2008,13515,Mirrors,35000000,72400000,2.07,6.281,2044,True,True,True
Misery,1990,1700,Misery,20000000,61300000,3.06,7.754,5271,True,True,True
Mission to Mars,2000,2067,Mission to Mars,90000000,110983407,1.23,6.034,1602,True,True,True
Mission: Impossible,1996,954,Mission: Impossible,80000000,457696391,5.72,7.025,10027,True,True,True
Mission: Impossible II,2000,955,Mission: Impossible II,125000000,546388108,4.37,6.141,7612,True,True,True
Mobsters,1991,21219,Mobsters,23000000,20246790,0.88,6.3,199,True,True,True
Moneyball,2011,60308,Moneyball,50000000,110206216,2.2,7.297,5824,True,True,True
Monkeybone,2001,23685,Monkeybone,75000000,5409517,0.07,5.217,374,True,True,True
Monte Carlo,2011,59860,Monte Carlo,20000000,39800000,1.99,6.811,2339,True,True,True
Monty Python Live at the Hollywood Bowl,1982,11949,Monty Python Live at the Hollywood Bowl,0,327958,,7.367,181,False,True,False
Monty Python and the Holy Grail,1975,762,Monty Python and the Holy Grail,400000,5763644,14.41,7.806,6451,True,True,True
Monty Pythons Life of Brian,1979,583,Life of Brian,4000000,20833252,5.21,7.761,4953,True,True,True
Monty Pythons The Meaning of Life,1983,4543,Monty Python's The Meaning of Life,9000000,42749697,4.75,7.3,2122,True,True,True
Moon,2009,17431,Moon,5000000,9760104,1.95,7.563,6321,True,True,True
Moonrise Kingdom,2012,83666,Moonrise Kingdom,16000000,68263166,4.27,7.677,6368,True,True,True
Moonstruck,1987,2039,Moonstruck,15000000,122100000,8.14,6.8,1107,True,True,True
Mr. Blandings Builds His Dream House,1948,32294,Mr. Blandings Builds His Dream House,0,0,,6.992,199,False,True,False
Mr. Brooks,2007,3432,Mr. Brooks,20000000,48443734,2.42,6.923,1890,True,True,True
Mr. Deeds Goes to Town,1936,24807,Mr. Deeds Goes to Town,0,0,,7.547,406,False,True,False
Mr. Smith Goes to Washington,1939,3083,Mr. Smith Goes to Washington,1500000,9600000,6.4,7.8,1203,True,True,True
Mrs. Brown,1997,17589,Mrs Brown,0,0,,6.8,189,False,True,False
Mulan,1998,10674,Mulan,90000000,304320254,3.38,7.904,10487,True,True,True
Mulholland Drive,2001,1018,Mulholland Drive,15000000,20289986,1.35,7.802,7086,True,True,True
Mumford,1999,24071,Mumford,0,0,,6.518,109,False,True,False
Murderland,2009,,,,,,,,False,False,False
Music of the Heart,1999,26149,Music of the Heart,27000000,14859394,0.55,6.697,228,True,True,True
My Best Friends Wedding,1997,8874,My Best Friend's Wedding,38000000,299288605,7.88,6.568,2900,True,True,True
My Girl,1991,4032,My Girl,17000000,59490000,3.5,7.418,2301,True,True,True
My Mother Dreams the Satans Disciples in New York,1998,244942,My Mother Dreams the Satan's Disciples in New York,0,0,,7.714,7,False,False,False
My Own Private Idaho,1991,468,My Own Private Idaho,2500000,6400000,2.56,7.055,1244,True,True,True
My Week with Marilyn,2011,75900,My Week with Marilyn,6400000,35100000,5.48,6.7,1360,True,True,True
Mystery Men,1999,9824,Mystery Men,68000000,29762011,0.44,5.849,922,True,True,True
Napoleon Dynamite,2004,8193,Napoleon Dynamite,400000,46118097,115.3,6.8,2183,True,True,True
Nashville,1975,3121,Nashville,2200000,9995555,4.54,7.243,463,True,True,True
National Lampoons Barely Legal,2003,15276,Barely Legal,0,0,,5.949,287,False,True,False
Natural Born Killers,1994,241,Natural Born Killers,34000000,50283563,1.48,7.056,3826,True,True,True
Network,1976,10774,Network,3800000,23700000,6.24,7.798,2042,True,True,True
Never Been Kissed,1999,11355,Never Been Kissed,25000000,84565230,3.38,6.168,1589,True,True,True
New York Minute,2004,11025,New York Minute,30000000,21289826,0.71,6.149,940,True,True,True
Newsies,1992,15300,Newsies,15000000,2819485,0.19,6.739,300,True,True,True
Next,2007,1738,Next,70000000,76066841,1.09,6.133,3293,True,True,True
Next Friday,2000,10471,Next Friday,11000000,59827328,5.44,6.5,655,True,True,True
Nick of Time,1995,2086,Nick of Time,33000000,8175346,0.25,6.247,814,True,True,True
Nightbreed,1990,20481,Nightbreed,11000000,8862354,0.81,6.368,537,True,True,True
Nine,2009,10197,Nine,80000000,53825515,0.67,5.5,633,True,True,True
Ninja Assassin,2009,22832,Ninja Assassin,40000000,61601280,1.54,6.716,1803,True,True,True
Ninotchka,1939,1859,Ninotchka,1365000,2279000,1.67,7.515,437,True,True,True
Nixon,1995,10858,Nixon,44000000,13681765,0.31,6.8,401,True,True,True
No Country for Old Men,2007,6977,No Country for Old Men,25000000,171627166,6.87,8.0,13410,True,True,True
No Strings Attached,2011,41630,No Strings Attached,25000000,149200000,5.97,6.294,5011,True,True,True
Nosferatu,1922,653,Nosferatu,0,27964,,7.7,2462,False,True,False
Nothing But a Man,1964,91721,Nothing But a Man,0,9248,,7.4,37,False,False,False
Notting Hill,1999,509,Notting Hill,42000000,363889678,8.66,7.269,6742,True,True,True
Nurse Betty,2000,10480,Nurse Betty,24000000,29364989,1.22,6.073,431,True,True,True
"O Brother, Where Art Thou:",2000,134,"O Brother, Where Art Thou?",26000000,71877090,2.76,7.327,4625,True,True,True
Oblivion,2013,75612,Oblivion,120000000,286168572,2.38,6.683,11568,True,True,True
Observe and Report,2009,16991,Observe and Report,18000000,24007324,1.33,5.411,753,True,True,True
Obsessed,2009,17335,Obsessed,20000000,73830340,3.69,5.8,703,True,True,True
Oceans Eleven,2001,161,Ocean's Eleven,85000000,450717150,5.3,7.461,12628,True,True,True
Oceans Twelve,2004,163,Ocean's Twelve,110000000,362744280,3.3,6.566,7946,True,True,True
Office Space,1999,1542,Office Space,10000000,12800000,1.28,7.377,3417,True,True,True
On the Waterfront,1954,654,On the Waterfront,910000,9600631,10.55,7.858,1800,True,True,True
One Eight Seven,1997,6072,One Eight Seven,20000000,5716080,0.29,6.666,636,True,True,True
One Flew Over the Cuckoos Nest,1975,510,One Flew Over the Cuckoo's Nest,3000000,108981275,36.33,8.411,11520,True,True,True
One Good Turn,1931,48903,One Good Turn,0,0,,6.922,45,False,False,False
Only God Forgives,2013,77987,Only God Forgives,4800000,10300000,2.15,5.816,2594,True,True,True
Only You,1994,9058,Only You,0,20059210,,6.726,574,False,True,False
Ordinary People,1980,16619,Ordinary People,6000000,54766923,9.13,7.449,698,True,True,True
Orgy of the Dead,1965,47615,Orgy of the Dead,10000,0,0.0,3.0,72,False,True,False
Orphan,2009,21208,Orphan,20000000,77912251,3.9,6.99,5662,True,True,True
Out of Sight,1998,1389,Out of Sight,48000000,77745966,1.62,6.685,1419,True,True,True
Pandorum,2009,19898,Pandorum,33000000,20648328,0.63,6.593,2685,True,True,True
Panic Room,2002,4547,Panic Room,48000000,197100000,4.11,6.793,5446,True,True,True
Panther,1995,41478,Panther,0,6834525,,6.298,47,False,False,False
ParaNorman,2012,77174,ParaNorman,60000000,107307220,1.79,7.042,2795,True,True,True
Pariah,2011,73939,Pariah,500000,769552,1.54,6.8,165,True,True,True
Passenger 57,1992,10538,Passenger 57,15000000,44065653,2.94,6.027,1133,True,True,True
Paul,2011,39513,Paul,40000000,98000000,2.45,6.744,6322,True,True,True
Pearl Harbor,2001,676,Pearl Harbor,140000000,449220945,3.21,6.935,7031,True,True,True
Peeping Tom,1960,11167,Peeping Tom,150000,83957,0.56,7.5,908,True,True,True
Peggy Sue Got Married,1986,10013,Peggy Sue Got Married,18000000,41382841,2.3,6.125,658,True,True,True
Perfect Creature,2006,,,,,,,,False,False,False
Pet Sematary,1989,8913,Pet Sematary,11500000,57500000,5.0,6.653,2394,True,True,True
Pet Sematary Two,1992,10906,Pet Sematary II,8000000,17092453,2.14,5.478,604,True,True,True
Petulia,1968,42634,Petulia,0,1600000,,6.0,50,False,True,False
Phantasm,1979,9638,Phantasm,300000,11988469,39.96,6.494,786,True,True,True
Philadelphia,1993,9800,Philadelphia,26000000,206678440,7.95,7.712,4657,True,True,True
Phone Booth,2002,,,,,,,,False,False,False
Pi,1998,473,Pi,60000,3221152,53.69,7.115,2502,True,True,True
Pie-lette,2008,,,,,,,,False,False,False
Pineapple Express,2008,10189,Pineapple Express,27000000,101624843,3.76,6.643,4234,True,True,True
Pirates of the Caribbean: Dead Mans Chest,2006,58,Pirates of the Caribbean: Dead Man's Chest,200000000,1066179747,5.33,7.384,17260,True,True,True
Pirates of the Caribbean: The Curse of the Black Pearl,2003,22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,4.68,7.828,22359,True,True,True
Pitch Black,2000,2787,Pitch Black,23000000,53187659,2.31,6.868,4829,True,True,True
Plan 9 from Outer Space,1959,,,,,,,,False,False,False
Planet of the Apes,1968,871,Planet of the Apes,5800000,32589624,5.62,7.7,3987,True,True,True
Planet of the Apes,2001,869,Planet of the Apes,100000000,362211740,3.62,5.771,4441,True,True,True
Platinum Blonde,1931,26884,Platinum Blonde,0,0,,6.7,56,False,True,False
Platoon,1986,792,Platoon,6000000,138530565,23.09,7.75,5138,True,True,True
Pleasantville,1998,2657,Pleasantville,60000000,49800000,0.83,7.3,1896,True,True,True
Poetic Justice,1993,8291,Poetic Justice,14000000,27515786,1.97,6.746,287,True,True,True
Point Break,1991,1089,Point Break,24000000,83531958,3.48,7.154,4010,True,True,True
Pokémon: Mewtwo Returns,2000,,,,,,,,False,False,False
Poltergeist,1982,609,Poltergeist,10700000,121733131,11.38,7.162,3354,True,True,True
Portrait of Jennie,1948,32558,Portrait of Jennie,0,0,,7.2,123,False,True,False
Practical Magic,1998,6435,Practical Magic,75000000,46733235,0.62,6.785,1722,True,True,True
Precious,2009,25793,Precious: Based on the Novel 'Push' by Sapphire,10000000,47536959,4.75,7.3,1785,True,True,True
Predator,1987,106,Predator,15000000,98267558,6.55,7.567,9214,True,True,True
Pretty Woman,1990,114,Pretty Woman,14000000,463406268,33.1,7.447,9024,True,True,True
Pride & Prejudice,2005,4348,Pride & Prejudice,28000000,124604345,4.45,8.055,8801,True,True,True
Priest,2011,38321,Priest,60000000,84154026,1.4,5.887,2551,True,True,True
Prom Night,1980,36599,Prom Night,1500000,14796236,9.86,5.719,500,True,True,True
Prometheus,2012,70981,Prometheus,130000000,403354469,3.1,6.598,13323,True,True,True
Psycho,1960,539,Psycho,806947,50000000,61.96,8.413,11044,True,True,True
Public Enemies,2009,11322,Public Enemies,100000000,214104620,2.14,6.687,4862,True,True,True
Pulp Fiction,1994,680,Pulp Fiction,8000000,213928762,26.74,8.482,30358,True,True,True
Pump Up the Volume,1990,8428,Pump Up the Volume,0,11500000,,7.056,408,False,True,False
Punch-Drunk Love,2002,8051,Punch-Drunk Love,25000000,24665649,0.99,7.105,2775,True,True,True
Purple Rain,1984,13763,Purple Rain,7200000,68392977,9.5,6.698,416,True,True,True
Queen of the Damned,2002,11979,Queen of the Damned,35000000,45479110,1.3,6.105,1184,True,True,True
Quills,2000,10876,Quills,13500000,17989227,1.33,7.144,727,True,True,True
RKO 281,1999,50008,RKO 281,0,0,,6.5,101,False,True,False
Rabid,1977,29437,Rabid,530000,0,0.0,6.314,561,False,True,False
Rachel Getting Married,2008,14976,Rachel Getting Married,12000000,16937968,1.41,6.294,654,True,True,True
Raging Bull,1980,1578,Raging Bull,18000000,23380203,1.3,7.9,4794,True,True,True
Raiders of the Lost Ark,1981,85,Raiders of the Lost Ark,18000000,389925971,21.66,7.925,13710,True,True,True
Raising Arizona,1987,378,Raising Arizona,6000000,29180280,4.86,7.056,2349,True,True,True
Rambling Rose,1991,32221,Rambling Rose,7500000,6266621,0.84,6.2,81,True,True,True
Rambo: First Blood Part II,1985,1369,Rambo: First Blood Part II,44000000,300400432,6.83,6.662,4347,True,True,True
Rapture,1965,83957,Rapture,0,0,,7.056,36,False,False,False
Real Genius,1985,14370,Real Genius,8000000,12952019,1.62,6.663,503,True,True,True
Rear Window,1954,567,Rear Window,1000000,37042336,37.04,8.338,7205,True,True,True
Rebecca,1940,223,Rebecca,0,0,,7.9,1987,False,True,False
Rebel Without a Cause,1955,221,Rebel Without a Cause,1500000,4500000,3.0,7.494,1777,True,True,True
Red Planet,2000,8870,Red Planet,80000000,33463969,0.42,5.7,1173,True,True,True
Red Riding Hood,2011,49730,Red Riding Hood,42000000,89162162,2.12,5.981,3321,True,True,True
Reindeer Games,2000,2155,Reindeer Games,42000000,32168970,0.77,5.71,733,True,True,True
Remember Me,2010,23169,Remember Me,16000000,56000000,3.5,7.103,3739,True,True,True
Rent,2005,1833,Rent,40000000,31670620,0.79,6.827,597,True,True,True
Repo Man,1984,13820,Repo Man,1500000,2300000,1.53,6.655,676,True,True,True
Requiem for a Dream,2000,641,Requiem for a Dream,4500000,7390108,1.64,8.011,11043,True,True,True
Reservoir Dogs,1992,500,Reservoir Dogs,1200000,2859750,2.38,8.114,15532,True,True,True
Resident Evil,2002,1576,Resident Evil,33000000,102984862,3.12,6.664,6984,True,True,True
Return of the Jedi,1983,1892,Return of the Jedi,32350000,572700000,17.7,7.909,17013,True,True,True
Return to Me,2000,2621,Return to Me,24000000,36600000,1.52,6.7,474,True,True,True
Revolutionary Road,2008,4148,Revolutionary Road,35000000,76000000,2.17,6.985,4129,True,True,True
Ride the High Country,1962,36206,Ride the High Country,813000,0,0.0,7.059,247,False,True,False
Ring,1998,2671,Ring,1200000,19400000,16.17,7.1,1672,True,True,True
Rise of the Planet of the Apes,2011,61791,Rise of the Planet of the Apes,93000000,481800873,5.18,7.345,12805,True,True,True
Robin Hood: Prince of Thieves,1991,8367,Robin Hood: Prince of Thieves,48000000,390493908,8.14,6.9,3602,True,True,True
RocknRolla,2008,13809,RocknRolla,18000000,25740863,1.43,6.95,3325,True,True,True
Rocky,1976,1366,Rocky,1000000,117253345,117.25,7.8,8682,True,True,True
Romeo + Juliet,1996,454,Romeo + Juliet,14500000,147298761,10.16,6.779,5366,True,True,True
Romy and Micheles High School Reunion,1997,9611,Romy and Michele's High School Reunion,20000000,29235353,1.46,6.25,590,True,True,True
Ronin,1998,8195,Ronin,55000000,70692101,1.29,6.967,2696,True,True,True
Roughshod,1949,126374,Roughshod,0,0,,5.708,12,False,False,False
Runaway Bride,1999,4806,Runaway Bride,70000000,309500000,4.42,6.107,2177,True,True,True
Rush Hour,1998,2109,Rush Hour,33000000,244721064,7.42,7.081,5719,True,True,True
Rush Hour 2,2001,5175,Rush Hour 2,90000000,347325802,3.86,6.77,4637,True,True,True
Rushmore,1998,11545,Rushmore,9000000,17096053,1.9,7.396,2746,True,True,True
Rust and Bone,2012,97365,Rust and Bone,15400000,25762027,1.67,7.159,1462,True,True,True
S. Darko,2009,17532,S. Darko,4000000,4100000,1.02,4.3,492,True,True,True
Saga of a Star World,1978,,,,,,,,False,False,False
Salt of the Earth,1954,23620,Salt of the Earth,0,0,,7.0,101,False,True,False
Save the Last Dance,2001,9816,Save the Last Dance,13000000,131706809,10.13,6.539,1358,True,True,True
Saving Private Ryan,1998,857,Saving Private Ryan,70000000,481840909,6.88,8.228,17363,True,True,True
Saw,2004,176,Saw,1200000,104045735,86.7,7.422,10121,True,True,True
Scarface,1983,111,Scarface,25000000,66023329,2.64,8.155,13128,True,True,True
Scary Movie 2,2001,4248,Scary Movie 2,45000000,141220678,3.14,5.839,5241,True,True,True
Scary Movie,2000,4247,Scary Movie,19000000,278023280,14.63,6.419,7901,True,True,True
Schindlers List,1993,424,Schindler's List,22000000,321365567,14.61,8.57,17563,True,True,True
Scott Pilgrim vs. the World,2010,22538,Scott Pilgrim vs. the World,73000000,51825248,0.71,7.485,8653,True,True,True
Scream,1996,4232,Scream,14000000,173046663,12.36,7.431,8032,True,True,True
Scream 2,1997,4233,Scream 2,24000000,172363301,7.18,6.52,4775,True,True,True
Scream 3,2000,4234,Scream 3,40000000,161838076,4.05,6.011,4084,True,True,True
Semi-Pro,2008,13260,Semi-Pro,55000000,33500000,0.61,5.639,889,True,True,True
Sense and Sensibility,1995,4584,Sense and Sensibility,16000000,134582776,8.41,7.4,1849,True,True,True
Serenity,2005,16320,Serenity,39000000,38869464,1.0,7.362,3892,True,True,True
